 ,ar,pt-br,bg,cs,da,nl,en-gb,en-US,fi,fr,de,el,he,hu,id,it,ja,ko,no,pl,ro,ru,zh-cn,es,sv,th,zh-tw,tr,vi
usdk_csat_comment,إضافة تعليق...,Adicionar comentário...,Добавяне на коментар...,Přidat komentář...,Tilføj kommentar ...,Opmerking toevoegen...,Add comment...,Add comment...,Lisää kommentti...,Ajoutez un commentaire...,Kommentar hinzufügen...,Προσθήκη σχολίου...,הוסף הערה...,Hozzászólás hozzáadása…,Tambah komentar...,Aggiungi commento...,コメントを追加...,댓글 추가...,Legg til kommentar...,Dodaj komentarz...,Adăugare comentariu...,Добавить комментарий...,添加评论……,Agregar comentario...,Lägg till kommentar...,เพิ่มข้อคิดเห็น...,新增評論……,Yorum ekleyin...,Thêm bình luận...
usdk_error_msg_invalid_general,حقل إجباري,Campo obrigatório,Задължително поле,Povinné pole,Obligatorisk felt,Verplicht veld,Mandatory field,Mandatory field,Pakollinen kenttä,Champ obligatoire,Erforderliches Feld,Υποχρεωτικό πεδίο,שדה חובה,Kötelező mező,Petak wajib,Campo obbligatorio,入力必須フィールド,필수 필드,Obligatorisk felt,Pole wymagane,Câmp obligatoriu,Обязательное поле,必填字段,Campo obligatorio,Obligatoriskt fält,ฟิลด์บังคับ,必填欄位,Zorunlu alan,Trường bắt buộc
usdk_conversations_are_not_enabled,المحادثات غير ممكّنة,As conversas não estão ativadas,Разговорите не са активирани,Konverzace nejsou zapnuté,Samtaler er ikke aktiveret,Gesprekken zijn niet ingeschakeld,Conversations are not enabled,Conversations are not enabled,Keskustelut eivät ole käytössä,Les conversations ne sont pas activées,Konversationen nicht aktiviert,Οι συζητήσεις δεν είναι ενεργοποιημένες,השיחות לא מופעלות,A beszélgetések nem engedélyezettek,Percakapan tidak diaktifkan,Le conversazioni non sono abilitate,会話が有効になっていません,대화가 사용 설정되어 있지 않습니다.,Samtaler er ikke aktivert,Nie włączono konwersacji,Conversațiile nu sunt activate,Переписка не активирована,对话未启用,Las conversaciones no están activadas,Konversationer är inte aktiverade,ไม่ได้เปิดใช้งานการสนทนา,未啟用對話,Görüşmeler etkinleştirilmedi,Cuộc hội thoại chưa được bật
usdk_sample_button_helpcenter,مركز المساعدة,Central de Ajuda,Помощен център,Centrum nápovědy,Help Center,Helpcenter,Help Centre,Help Center,Tukiportaali,Centre d’aide,Help Center,Κέντρο βοήθειας,מרכז התמיכה,Súgóközpont,Pusat Bantuan,Centro assistenza,ヘルプセンター,헬프 센터,Kundesenter,Centrum pomocy,Centru de asistență,Справочный центр,帮助中心,Centro de ayuda,Helpcenter,ศูนย์ความช่วยเหลือ,客服中心,Yardım Merkezi,Trung tâm trợ giúp
usdk_request_list_empty_text,تظهر هنا المحادثات التي تبدأ من هذا التطبيق,As conversas iniciadas neste aplicativo serão exibidas aqui.,Започнатите от това приложение разговори ще се виждат тук.,Tady budou zobrazeny konverzace zahájené z této aplikace.,"Samtaler, som startes fra denne app, vil være synlige her.","Gesprekken die met deze app worden begonnen, worden hier weergegeven.",Conversations started from this app will be visible here.,Conversations started from this app will be visible here.,Tästä sovelluksesta aloitetut keskustelut näkyvät tässä.,Les conversations lancées à partir de cette application apparaitront ici.,Von dieser App aus gestartete Konversationen erscheinen hier.,Οι συζητήσεις που ξεκίνησαν από αυτήν τη εφαρμογή θα είναι ορατές εδώ.,שיחות שהתחילו באפליקציה יוצגו כאן.,Az alkalmazásból indított beszélgetések itt lesznek láthatók.,Percakapan yang dimulai dari aplikasi ini akan terlihat di sini.,Le conversazioni avviate da questa app saranno visibili qui.,このアプリで開始された会話がここに表示されます。,이 앱에서 시작된 대화가 여기에 표시됩니다.,"Samtaler som startes i denne appen, vil være synlige her.",Tutaj będą widoczne konwersacje zaczęte w tej aplikacji.,Conversațiile începute din această aplicație vor fi vizibile aici.,"Разговоры, начатые из этого приложения, будут отображаться здесь.",从此应用开始的对话将在这里可见。,Las conversaciones iniciadas desde esta aplicación se verán aquí.,Konversationer som startas från denna app kommer att synas här.,การสนทนาที่เริ่มจากแอปนี้จะปรากฏขึ้นที่นี่,從此 app 開始的對話將在此處可見。,Bu uygulamadan başlatılan görüşmeler burada görünecek.,Các cuộc hội thoại bắt đầu từ ứng dụng này sẽ được hiển thị ở đây.
usdk_contact_us_header,اتصل بنا,Entre em contato conosco,Свържете се с нас,Kontaktujte nás,Kontakt os,Contact,Contact us,Contact us,Ota yhteyttä,Contactez-nous,Kontaktaufnahme,Επικοινωνία,צור קשר,Kapcsolat,Hubungi kami,Contattaci,お問い合わせ,문의하기,Ta kontakt med oss,Kontakt z nami,Contactați-ne,Свяжитесь с нами,联系我们,Contáctenos,Kontakta oss,ติดต่อเรา,聯絡我們,Bizimle iletişime geçin,Liên hệ với chúng tôi
usdk_help_center_label_accessibility,مركز المساعدة,Central de Ajuda,Помощен център,Centrum nápovědy,Help Center,Helpcenter,Help Centre,Help Center,Tukiportaali,Centre d’aide,Help Center,Κέντρο βοήθειας,מרכז התמיכה,Súgóközpont,Pusat Bantuan,Centro assistenza,ヘルプセンター,헬프 센터,Kundesenter,Centrum pomocy,Centru de asistență,Справочный центр,帮助中心,Centro de ayuda,Helpcenter,ศูนย์ความช่วยเหลือ,客服中心,Yardım Merkezi,Trung tâm trợ giúp
usdk_bot_feedback_reply,تم إرسال رسالتك. إذا كان الرد مطلوبًا، فسنتصل بك بعد قليل.,"Sua mensagem foi enviada. Caso seja necessária uma resposta, entraremos em contato em breve.","Съобщението ви е изпратено. Ако е необходим отговор, скоро ще се свържем с вас.","Vaše zpráva byla odeslána. Pokud je potřeba odpověď, brzy se ozveme.","Din meddelelse er blevet sendt. Vi kontakter dig snarest, hvis et svar er nødvendigt.","Uw bericht is verzonden. Als een reactie nodig is, nemen we dadelijk contact met u op.","Your message was sent. If a reply is needed, we will be in contact shortly.","Your message was sent. If a reply is needed, we will be in contact shortly.","Viestisi on lähetetty. Jos vastaus tarvitaan, otamme sinuun pian yhteyttä.","Votre message a été envoyé. S’il nécessite une réponse, nous reviendrons vers vous dans les plus brefs délais.","Ihre Nachricht wurde gesendet. Wenn eine Antwort erforderlich ist, werden wir uns in Kürze melden.","Το μήνυμά σας εστάλη. Αν χρειάζεται απάντηση, θα επικοινωνήσουμε σύντομα.","ההודעה שלך נשלחה. אם נדרשת תשובה, נהיה בקשר בהקדם.","Üzenetét elküldtük. Ha az üzenet választ igényel, akkor hamarosan felvesszük Önnel a kapcsolatot.","Pesan Anda terkirim. Jika diperlukan balasan, kami akan segera menghubungi Anda.","Messaggio inviato. Se necessario, ti contatteremo a breve con una risposta.",メッセージが送信されました。お返事が必要な場合は、担当者よりご返信いたします。,메시지를 보냈습니다. 답장이 필요하면 바로 연락드리겠습니다.,"Meldingen din ble sendt. Hvis vi trenger svar, tar vi snart kontakt.","Wiadomość została wysłana. Jeśli jest potrzebna odpowiedź, wkrótce się z Tobą skontaktujemy.","Mesajul dumneavoastră a fost trimis. Dacă este necesar un răspuns, vă vom contacta în scurt timp.","Ваше сообщение отправлено. Если требуется ответ, мы скоро свяжемся с вами.",您的消息已发送。如果需要回复，我们将很快联系您。,"Su mensaje fue enviado. Si se necesita una respuesta, nos comunicaremos en breve.",Ditt meddelande har skickats. Om du behöver ett svar tar vi kontakt med dig inom kort.,ส่งข้อความของคุณแล้ว หากต้องการให้ตอบกลับ เราจะติดต่อคุณในไม่ช้า,已傳送訊息。若需回覆，我們將盡快聯絡您。,Mesajınız gönderildi. Yanıt gerekirse kısa süre içinde iletişime geçeceğiz.,"Tin nhắn của bạn đã được gửi. Nếu cần câu trả lời, chúng tôi sẽ sớm liên hệ với bạn."
usdk_generic_error_message_body_content,تحقق من اتصال الشبكة لديك وأعِد المحاولة.,Verifique sua conexão de rede e tente novamente.,Проверете връзката си с мрежата и опитайте пак.,Zkontrolujte svoje síťové připojení a zkuste to znovu.,Kontrollér din netværksforbindelse og prøv igen.,Controleer uw netwerkverbinding en probeer het opnieuw.,Check your network connection and try again.,Check your network connection and try again.,Tarkista verkkoyhteys ja yritä uudelleen.,Vérifiez votre connexion réseau et réessayez.,Überprüfen Sie die Netzwerkverbindung und versuchen Sie es erneut.,Ελέγξτε τη σύνδεση δικτύου και προσπαθήστε ξανά.,בדוק את החיבור לרשת ונסה שוב.,"Ellenőrizze a hálózati kapcsolatát, majd próbálkozzon újra.",Periksa koneksi jaringan Anda dan coba lagi.,Verifica la connessione alla rete e riprova.,ネットワーク接続を確認してもう一度やり直してください。,네트워크 연결을 확인한 후 다시 시도하세요.,Kontroller nettverksforbindelsen og prøv på nytt.,Sprawdź połączenie z siecią i spróbuj ponownie.,Verificați conexiunea la rețea și încercați din nou.,Проверьте подключение к сети и повторите попытку.,检查您的网络连接并重试。,Verifique la conexión a la red y vuelva a intentar.,Kontrollera din nätverksanslutning och försök igen.,ตรวจสอบการเชื่อมต่อเครือข่ายของคุณแล้วลองอีกครั้ง,檢查網路連線並重試。,Ağ bağlantınızı kontrol edin ve yeniden deneyin.,Hãy kiểm tra kết nối mạng rồi thử lại.
usdk_network_activity_no_connectivity,لا يوجد اتصال,Sem conexão,Няма връзка,Není připojení,Ingen forbindelse,Geen verbinding,No connection,No connection,Ei yhteyttä,Pas de connexion,Keine Verbindung,Δεν υπάρχει σύνδεση,אין חיבור,Nincs kapcsolat,Tidak ada koneksi,Nessuna connessione,接続なし,연결되지 않음,Ingen forbindelse,Brak połączenia,Fără conexiune,Нет соединения,无连接,No hay conexión,Ingen anslutning,ไม่มีการเชื่อมต่อ,無連線,Bağlantı yok,Không có kết nối
usdk_label_message,Message,Mensagem,Съобщение,Zpráva,Meddelelse,Bericht,Message,Message,Viesti,Message,Nachricht,Μήνυμα,Message,Üzenet,Pesan,Messaggio,メッセージ,메시지,Melding,Wiadomość,Mesaj,Сообщение,消息,Mensaje,Meddelande,ข้อความ,訊息,Mesaj,Tin nhắn
usdk_jwt_integrator_warning,لا تدعم هذه النسخة من إصدار SDK مصادقة JWT.,Esta versão do SDK não oferece suporte à autenticação JWT.,Тази версия на SDK не поддържа JWT автентификация.,Tato verze SDK nepodporuje ověřování JWT.,Denne version af SDK understøtter ikke JWT-godkendelse.,Deze SDK-versie biedt geen ondersteuning voor JWT-authenticatie.,This version of SDK does not support JWT authentication.,This version of SDK does not support JWT authentication.,Tämä SDK:n versio ei tue JWT-todennusta.,Cette version du SDK ne prend pas en charge l’authentification JWT.,JWT-Authentifizierung wird in dieser SDK-Version nicht unterstützt.,Αυτή η έκδοση του SDK δεν υποστηρίζει τον έλεγχο ταυτότητας JWT.,גרסת ה-SDK הזאת לא תומכת באימות זהות JWT.,Az SDK ezen verziója nem támogatja a JWT-hitelesítést.,Versi SDK ini tidak mendukung autentikasi JWT.,Questa versione dell’SDK non supporta l’autenticazione JWT.,このバージョンのSDKはJWT認証をサポートしていません。,이 SDK 버전은 JWT 인증을 지원하지 않습니다.,Denne versjonen av SDK støtter ikke JWT-godkjenning.,Ta wersja zestawu SDK nie obsługuje uwierzytelniania JWT.,Această versiune de SDK nu acceptă autentificarea JWT.,Эта версия SDK не поддерживает аутентификацию JWT.,此版本的 SDK 不支持 JWT 身份验证。,Esta versión del SDK no admite la autenticación con JWT.,Denna SDK-version har inte stöd för JWT-autentisering.,SDK เวอร์ชันนี้ไม่สนับสนุนการรับรองความถูกต้อง JWT,此 SDK 版本不支援 JWT 驗證。,SDK’nın bu sürümü JWT kimlik doğrulamayı desteklemiyor.,Phiên bản SDK này không hỗ trợ xác thực JWT.
usdk_request_created_button_text,إغلاق,Fechar,Затвори,Zavřít,Luk,Sluiten,Close,Close,Sulje,Fermer,Schließen,Κλείσιμο,סגור,Bezárás,Tutup,Chiudi,閉じる,닫기,Lukk,Zamknij,Închidere,Закрыть,关闭,Cerrar,Stäng,ปิด,關閉,Kapat,Đóng
usdk_answerbot_feedback_reply,شكرًا لك على إخباري. سوف نتواصل معك إذا احتجنا إلى مزيد من المعلومات منك.,Agradecemos seu feedback. Entraremos em contato se precisarmos de mais informações.,"Благодаря за отговора. Ако ни е необходима още информация, ще се свържем с вас.","Díky, že jste se na mě obrátili. Dáme vám vědět, pokud od vás budeme potřebovat více informací.","Tak for oplysningerne. Vi kontakter dig, hvis vi har brug for yderligere oplysninger.",Bedankt. We nemen contact met u op als we meer informatie nodig hebben.,Thanks for letting me know. We'll be in touch if more information is needed from you.,Thanks for letting me know. We'll be in touch if more information is needed from you.,"Kiitos, että kerroit minulle. Otamme sinuun yhteyttä, jos tarvitsemme lisätietoja.",Merci de votre message. Nous vous recontacterons si nous avons besoin de plus d’informations.,"Vielen Dank! Wir melden uns, wenn wir weitere Informationen brauchen.",Σας ευχαριστώ που με ενημερώσατε. Θα επικοινωνήσουμε μαζί σας αν χρειαστούμε περισσότερες πληροφορίες από εσάς.,תודה על הפנייה. נהיה איתך בקשר אם נצטרך עוד מידע.,"Köszönöm, hogy elmondta. Ha további információkra van szükségünk, kapcsolatba lépünk Önnel.",Terima kasih telah memberi tahu saya. Kami akan menghubungi Anda jika diperlukan informasi lainya dari Anda.,"Grazie per avercelo fatto sapere. Ci metteremo in contatto con te, dovessimo avere bisogno di ulteriori informazioni.",お知らせいただきありがとうございます。お客様からさらに情報をいただく必要がある場合は、こちらから連絡いたします。,알려 주셔서 감사합니다. 정보가 더 필요하면 연락드리겠습니다.,Takk for at du sa fra. Vi tar kontakt hvis vi trenger mer informasjon.,"Dziękuję za informację. Jeśli będziemy potrzebować więcej informacji, skontaktujemy się z Tobą.",Vă mulțumesc că m-ați anunțat. Vă vom contacta dacă vom avea nevoie de informații suplimentare.,"Спасибо, что сообщили. Если понадобится дополнительная информация, мы свяжемся с вами.",感谢您告诉我。如果需要从您这里获得更多信息，我们将会与您联系。,Gracias por avisarme. Nos comunicaremos con usted si necesitamos más información.,Tack för att du berättade det. Vi kontaktar dig om vi behöver mer information från dig.,ขอขอบคุณที่แจ้งให้ฉันทราบ เราจะติดต่อคุณหากต้องการข้อมูลเพิ่มเติมจากคุณ,謝謝您告訴我。若我們需要您的更多資訊，將與您聯絡。,Bildirdiğiniz için teşekkür ederim. Sizden daha fazla bilgi almamız gerekirse bağlantı kuracağız.,Cảm ơn vì đã cho tôi biết. Chúng tôi sẽ liên lạc nếu cần thêm thông tin.
usdk_fill_application_id,يجب إدخال معرِّف التطبيق,A ID do aplicativo deve ser preenchida,Полето за идентификатор на приложението трябва да се попълни,ID aplikace musí být vyplněné,Applikations-id skal udfyldes,Toepassings-id moet worden ingevuld,Application ID must be filled,Application ID must be filled,Sovelluksen tunnus on annettava,L’ID de l’application ne peut pas être vide,Anwendungs-ID muss angegeben werden,Πρέπει να συμπληρωθεί το αναγνωριστικό εφαρμογής,חובה למלא את מזהה האפליקציה,Az alkalmazásazonosítót kötelező kitölteni,ID Aplikasi harus diisi,ID applicazione deve avere un valore,アプリケーションIDを入力してください,애플리케이션 ID를 입력해야 합니다.,Applikasjons-ID må være utfylt,Trzeba podać ID aplikacji,Identificatorul aplicației trebuie să fie completat,Следует указать ID приложения,必须填写应用程序 ID,ID de la aplicación debe rellenarse,App-ID måste vara ifyllt,ต้องกรอก ID แอปพลิเคชัน,必須填入應用程式 ID,Uygulama No doldurulmalıdır,Phải điền ID ứng dụng
usdk_answerbot_feedback_intro,أهلاً! فيمَ يمكننا مساعدتك؟,Olá! Como podemos ajudar você?,Здравейте! Как да ви помогна?,Ahoj! S čím vám můžu pomoci?,Hej! Hvad kan jeg hjælpe dig med?,Hallo! Hoe kunnen wij u van dienst zijn?,Hi! What can I help you with?,Hi! What can I help you with?,Hei! Miten voin auttaa sinua?,Bonjour ! Que puis-je faire pour vous ?,Hallo! Womit kann ich Ihnen helfen?,Γεια σας! Πώς μπορώ να σας βοηθήσω;,הי! איך אפשר לעזור לך?,Üdv! Miben tudok segíteni?,Hai! Ada yang bisa saya bantu?,Salve. Come possiamo aiutarti?,お問い合わせありがとうございます。何かお困りですか？,안녕하세요! 어떻게 도와드릴까요?,Hei! Hva kan jeg hjelpe deg med?,Witaj! W czym mogę pomóc?,Bună ziua! Cu ce vă pot ajuta?,Здравствуйте! Чем мы можем вам помочь?,您好！有什么需要我帮忙的吗？,¡Hola! ¿En qué podemos ayudarle?,Hej! Vad kan jag hjälpa dig med?,สวัสดี! ฉันสามารถช่วยอะไรคุณได้บ้าง,嗨！您需要什麼協助？,Merhaba! Size nasıl yardımcı olabilirim?,Xin chào! Tôi có thể giúp gì cho bạn?
usdk_image,صورة,Imagem,Изображение,Obrázek,Billede,Afbeelding,Image,Image,Kuva,Image,Bild,Εικόνα,תמונה,Kép,Gambar,Immagine,画像,이미지,Bilde,Obraz,Imagine,Изображение,图像,Imagen,Bild,รูปภาพ,影像,Resim,Hình ảnh
usdk_type_a_message_label_without_dots,كتابة رسالة,Digite uma mensagem,Въведете съобщение,Napište zprávu,Indtast en besked,Typ een bericht,Type a message,Type a message,Kirjoita viesti,Tapez un message,Nachricht eingeben,Πληκτρολογήστε ένα μήνυμα,כאן מקלידים את ההודעה,Üzenet beírása,Ketik pesan,Scrivi un messaggio,メッセージを入力,메시지 입력,Skriv en melding,Napisz wiadomość,Tastați un mesaj,Введите сообщение,输入消息,Escriba un mensaje,Skriv ett meddelande,พิมพ์ข้อความ,輸入訊息,Mesaj yazın,Nhập tin nhắn
usdk_request_status_closed,مغلقة,FECHADO,ПРИКЛЮЧЕНИ,UZAVŘENÝ,LUKKET,GESLOTEN,CLOSED,CLOSED,SULJETTU,CLOS,GESCHLOSSEN,ΕΚΛΕΙΣΕ,סגורות,LEZÁRT,DITUTUP,CHIUSO,終了,종료,AVSLUTTET,ZAMKNIĘTE,ÎNCHISE,ЗАКРЫТ,已关闭,CERRADO,STÄNGT,ปิดแล้ว,己關閉,KAPALI,ĐÃ ĐÓNG
usdk_bot_label_pascalcase,روبوت,Bot,Бот,Robot,Bot,Bot,Bot,Bot,Botti,Assistant de réponses (bot),Bot,Ρομπότ,בוט,Robot,Bot,Bot,ボット,봇,Bot,Bot,Bot,Бот,智能机器人,Bot,Bot,บอท,Bot,Bot,Bot
usdk_support_label,مساعدة,Suporte,Поддръжка,Podpora,Support,Support,Support,Support,Tuki,Assistance,Support,Υποστήριξη,תמיכה,Támogatás,Dukungan,Assistenza,サポート,지원,Kundestøtte,Wsparcie,Asistență,Поддержка,支持,Soporte,Support,สนับสนุน,支援,Destek,Hỗ trợ
usdk_csat_feedback,شكراً لك على رأيك.,Agradecemos seu feedback.,Благодарим за отзива.,Děkujeme za zpětnou vazbu.,Tak for din feedback.,Bedankt voor de feedback.,Thanks for the feedback.,Thanks for the feedback.,Kiitos palautteesta.,Merci de vos commentaires.,Vielen Dank für das Feedback.,Ευχαριστούμε για τις παρατηρήσεις.,תודה על המשוב.,Köszönjük a visszajelzést!,Terima kasih atas umpan balik ini.,Grazie del feedback.,フィードバックをいただき、ありがとうございます。,피드백을 주셔서 감사합니다.,Tusen takk for tilbakemeldingen.,Dziękuję za opinię.,Vă mulțumim pentru feedback.,Спасибо за отзыв.,感谢您的反馈。,Gracias por los comentarios.,Tack för all feedback.,ขอขอบคุณสำหรับฟีดแบ็ค,感謝提供意見。,Geri bildirim için teşekkürler.,Cảm ơn bạn đã gửi phản hồi.
usdk_categories_list_fragment_error_message,فشل في الحصول على الفئات,Falha ao obter as categorias,Неуспешно извличане на категории,Nepovedlo se načíst kategorie,Kategorierne blev ikke hentet,Kan categorieën niet opvragen,Failed to get categories,Failed to get categories,Kategorioiden hakeminen epäonnistui,Échec de la récupération des catégories,Fehler beim Abrufen der Kategorien,Αποτυχία λήψης κατηγοριών,אחזור הקטגוריות נכשל,Nem sikerült lekérni a kategóriákat,Gagal mendapatkan kategori,Impossibile reperire le categorie.,カテゴリを取得できませんでした,카테고리를 가져오지 못했습니다.,Får ikke tak i kategorier,Nie udało się uzyskać kategorii,Obținerea categoriilor a eșuat,Не удалось получить категории,获取类别失败,Error al intentar obtener categorías,Det gick inte att hämta kategorier,ไม่สามารถเรียกหมวดหมู่ได้,取得類別失敗,Kategoriler alınamadı,Không tải được nhóm
usdk_custom_field_conf_id_fail,<b>[تحذير ZENDESK]</b> تكوين الحقل المخصص غير صالح (المُعرّف غير موجود),<b>[AVISO DO ZENDESK]</b> Campo personalizado configurado incorretamente (ID ausente),<b>[ZENDESK – ПРЕДУПРЕЖДЕНИЕ]</b> Специалното поле не е конфигурирано правилно (липсва идентификатор),<b>[UPOZORNĚNÍ ZENDESKU]</b> Vlastní pole není správně konfigurované (chybí ID),<b>[ZENDESK ADVARSEL]</b> Brugerdefineret felt er ikke konfigureret korrekt (id mangler),<b>[ZENDESK WARNING]</b> Aangepast veld is niet juist geconfigureerd (id ontbreekt),<b>[ZENDESK WARNING]</b> Custom field not configured correctly (ID is missing),<b>[ZENDESK WARNING]</b> Custom field not configured correctly (ID is missing),<b>[ZENDESK-VAROITUS]</b> Mukautettua kenttää ei ole määritetty oikein (tunnus puuttuu),<b>[AVERTISSEMENT ZENDESK]</b> Le champ personnalisé n’est pas configuré correctement (ID manquant),<b>[ZENDESK-WARNUNG]</b> Angepasstes Feld nicht richtig konfiguriert (ID fehlt),<b>[ΠΡΟΕΙΔΟΠΟΙΗΣΗ ZENDESK]</b> Το εξατομικευμένο πεδίο δεν είναι σωστά διαμορφωμένο (λείπει το αναγνωριστικό),<b>[אזהרת ZENDESK]</b> השדה המותאם לא מוגדר כמו שצריך (ה-ID חסר),<b>[ZENDESK-FIGYELMEZTETÉS]</b> Az egyéni mező nincs megfelelően beállítva (hiányzik az azonosító),<b>[PERINGATAN ZENDESK]</b> Petak kustom tidak dikonfigurasi dengan benar (ID hilang),<b>[AVVERTENZA ZENDESK]</b> Campo personalizzato non configurato correttamente (ID mancante),<b>[ZENDESK WARNING]</b> カスタムフィールドが正しく設定されていません (IDが不足しています),<b>[ZENDESK 경고]</b> 사용자 지정 필드가 올바르게 구성되어 있지 않습니다(ID 누락).,<b>[ZENDESK-ADVARSEL]</b> Egendefinert felt er ikke riktig konfigurert (ID mangler),<b>[OSTRZEŻENIE ZENDESK]</b> Nieprawidłowo skonfigurowano dostosowane pole (brak ID),<b>[AVERTISMENT ZENDESK]</b> Câmpul personalizat nu este corect configurat (lipsește identificatorul),<b>[ПРЕДУПРЕЖДЕНИЕ ZENDESK]</b> Неправильно настроено специальное поле (ID отсутствует),<b>[ZENDESK 警告]</b> 自定义字段未正确配置（ID 缺失）,<b>[ADVERTENCIA DE ZENDESK]</b> El campo personalizado no está configurado correctamente (falta la ID),<b>[ZENDESK-VARNING]</b> Eget fält inte konfigurerat korrekt (ID saknas),<b>[คำเตือน ZENDESK]</b> ไม่ได้กำหนดค่าฟิลด์ที่กำหนดเองอย่างถูกต้อง (ID หายไป),<b>[ZENDESK 警告]</b> 自訂欄位未正確設定（缺少 ID）,<b>[ZENDESK UYARISI]</b> Özel alan doğru yapılandırılmamış (Numara eksik),<b>[CẢNH BÁO CỦA ZENDESK]</b>Chưa định cấu hình đúng trường tùy chỉnh (thiếu ID)
usdk_help_center_is_not_enabled,مركز المساعدة غير ممكَّن,A Central de Ajuda não está ativada,Помощният център не е активиран,Centrum nápovědy není zapnuté,Help Center er ikke aktiveret,Helpcenter is niet ingeschakeld,Help Centre is not enabled,Help Center is not enabled,Tukiportaali ei ole käytössä,Le Centre d’aide n’est pas activé,Help Center nicht aktiviert,Το Κέντρο βοήθειας δεν είναι ενεργοποιημένο,מרכז התמיכה לא מופעל,A Súgóközpont nincs engedélyezve,Pusat Bantuan tidak diaktifkan,Centro assistenza non abilitato,ヘルプセンターが有効になっていません,헬프 센터가 사용 설정되어 있지 않습니다.,Kundesenter er ikke aktivert,Nie włączono Centrum pomocy,Centrul de asistență nu este activat,Справочный центр не активирован,帮助中心未启用,El Centro de ayuda no está activado,Helpcenter är inte aktiverat,ไม่ได้เปิดใช้งานศูนย์ความช่วยเหลือ,未啟用客服中心,Yardım Merkezi etkinleştirilmedi,Chưa bật Trung tâm trợ giúp
usdk_file_exceeds_max_size_20_mb,يتجاوز أقصى حجم للملف (20 ميجابايت),Excede o tamanho máximo de arquivo (20 MB),Надвишава максималния размер за файл (20 МВ),Přesahuje maximální velikost souboru (20 MB),Filstørrelsen overskrider maksimum (20 MB),Overschrijdt maximale bestandsgrootte (20 MB),Exceeds max file size (20 MB),Exceeds max file size (20 MB),Ylittää tiedoston maksimikoon (20 Mt),Taille maximum dépassée (20 Mo),Überschreitet die maximale Dateigröße (20 MB),Υπέρβαση μέγιστου μεγέθους αρχείου (20 MB),חריגה מהגודל המקסימלי של קובץ (‎20 MB‎),A fájl mérete meghaladja a megengedett méretet (20 MB),Melampaui ukuran file maksimum (20 MB),Il file supera le dimensioni massime (20 MB),最大ファイルサイズ（20MB）を超えています,최대 파일 크기(20MB)를 초과합니다.,Overskrider maksimal filstørrelse (20 MB),Przekracza maksymalny rozmiar pliku (20 MB),Depășește dimensiunea maximă a fișierului (20 MB),Превышен максимальный размер файла (20 МБ),已超出最大文件大小（20 兆字节）,Excede el tamaño máximo del archivo (20 MB),Överskrider maximal filstorlek (20 MB),เกินขนาดไฟล์สูงสุด (20 MB),已超過檔案大小上限（20 MB）,Maksimum dosya boyutundan (20 MB) büyük,Vượt quá kích thước tập tin tối đa (20 MB)
